Time(ps)		Normalized Counts		Error
-19800			123.0000000000000		
-19600			149.0000000000000		
-19400			133.0000000000000		
-19200			156.0000000000000		
-19000			122.0000000000000		
-18800			128.0000000000000		
-18600			148.0000000000000		
-18400			131.0000000000000		
-18200			123.0000000000000		
-18000			120.0000000000000		
-17800			118.0000000000000		
-17600			143.0000000000000		
-17400			144.0000000000000		
-17200			134.0000000000000		
-17000			127.0000000000000		
-16800			153.0000000000000		
-16600			110.0000000000000		
-16400			131.0000000000000		
-16200			140.0000000000000		
-16000			115.0000000000000		
-15800			131.0000000000000		
-15600			122.0000000000000		
-15400			140.0000000000000		
-15200			125.0000000000000		
-15000			95.00000000000000		
-14800			115.0000000000000		
-14600			140.0000000000000		
-14400			151.0000000000000		
-14200			129.0000000000000		
-14000			135.0000000000000		
-13800			143.0000000000000		
-13600			108.0000000000000		
-13400			129.0000000000000		
-13200			125.0000000000000		
-13000			127.0000000000000		
-12800			137.0000000000000		
-12600			102.0000000000000		
-12400			152.0000000000000		
-12200			131.0000000000000		
-12000			121.0000000000000		
-11800			136.0000000000000		
-11600			145.0000000000000		
-11400			125.0000000000000		
-11200			139.0000000000000		
-11000			125.0000000000000		
-10800			143.0000000000000		
-10600			114.0000000000000		
-10400			135.0000000000000		
-10200			139.0000000000000		
-10000			130.0000000000000		
-9800			103.0000000000000		
-9600			133.0000000000000		
-9400			133.0000000000000		
-9200			121.0000000000000		
-9000			129.0000000000000		
-8800			131.0000000000000		
-8600			129.0000000000000		
-8400			112.0000000000000		
-8200			145.0000000000000		
-8000			129.0000000000000		
-7800			115.0000000000000		
-7600			141.0000000000000		
-7400			132.0000000000000		
-7200			110.0000000000000		
-7000			142.0000000000000		
-6800			118.0000000000000		
-6600			129.0000000000000		
-6400			130.0000000000000		
-6200			132.0000000000000		
-6000			137.0000000000000		
-5800			122.0000000000000		
-5600			136.0000000000000		
-5400			145.0000000000000		
-5200			144.0000000000000		
-5000			128.0000000000000		
-4800			126.0000000000000		
-4600			131.0000000000000		
-4400			114.0000000000000		
-4200			142.0000000000000		
-4000			139.0000000000000		
-3800			132.0000000000000		
-3600			137.0000000000000		
-3400			116.0000000000000		
-3200			137.0000000000000		
-3000			114.0000000000000		
-2800			110.0000000000000		
-2600			139.0000000000000		
-2400			161.0000000000000		
-2200			128.0000000000000		
-2000			151.0000000000000		
-1800			138.0000000000000		
-1600			145.0000000000000		
-1400			127.0000000000000		
-1200			138.0000000000000		
-1000			140.0000000000000		
-800			123.0000000000000		
-600			123.0000000000000		
-400			128.0000000000000		
-200			126.0000000000000		
0			129.0000000000000		
200			133.0000000000000		
400			152.0000000000000		
600			126.0000000000000		
800			106.0000000000000		
1000			141.0000000000000		
1200			128.0000000000000		
1400			132.0000000000000		
1600			126.0000000000000		
1800			109.0000000000000		
2000			153.0000000000000		
2200			139.0000000000000		
2400			126.0000000000000		
2600			137.0000000000000		
2800			137.0000000000000		
3000			136.0000000000000		
3200			126.0000000000000		
3400			134.0000000000000		
3600			134.0000000000000		
3800			153.0000000000000		
4000			142.0000000000000		
4200			153.0000000000000		
4400			127.0000000000000		
4600			131.0000000000000		
4800			112.0000000000000		
5000			135.0000000000000		
5200			141.0000000000000		
5400			130.0000000000000		
5600			136.0000000000000		
5800			138.0000000000000		
6000			128.0000000000000		
6200			158.0000000000000		
6400			145.0000000000000		
6600			179.0000000000000		
6800			351.0000000000000		
7000			616.0000000000000		
7200			611.0000000000000		
7400			301.0000000000000		
7600			171.0000000000000		
7800			149.0000000000000		
8000			139.0000000000000		
8200			129.0000000000000		
8400			104.0000000000000		
8600			132.0000000000000		
8800			109.0000000000000		
9000			101.0000000000000		
9200			113.0000000000000		
9400			138.0000000000000		
9600			126.0000000000000		
9800			113.0000000000000		
10000			129.0000000000000		
10200			115.0000000000000		
10400			135.0000000000000		
10600			120.0000000000000		
10800			95.00000000000000		
11000			131.0000000000000		
11200			124.0000000000000		
11400			122.0000000000000		
11600			135.0000000000000		
11800			140.0000000000000		
12000			155.0000000000000		
12200			133.0000000000000		
12400			127.0000000000000		
12600			151.0000000000000		
12800			105.0000000000000		
13000			135.0000000000000		
13200			127.0000000000000		
13400			117.0000000000000		
13600			131.0000000000000		
13800			135.0000000000000		
14000			138.0000000000000		
14200			119.0000000000000		
14400			123.0000000000000		
14600			121.0000000000000		
14800			138.0000000000000		
15000			130.0000000000000		
15200			125.0000000000000		
15400			108.0000000000000		
15600			145.0000000000000		
15800			139.0000000000000		
16000			150.0000000000000		
16200			144.0000000000000		
16400			123.0000000000000		
16600			115.0000000000000		
16800			126.0000000000000		
17000			122.0000000000000		
17200			131.0000000000000		
17400			140.0000000000000		
17600			136.0000000000000		
17800			149.0000000000000		
18000			139.0000000000000		
18200			148.0000000000000		
18400			124.0000000000000		
18600			136.0000000000000		
18800			121.0000000000000		
19000			132.0000000000000		
19200			141.0000000000000		
19400			113.0000000000000		
19600			117.0000000000000		
