time(ps)	counts
0	148
200	145
400	173
600	144
800	124
1000	150
1200	148
1400	151
1600	141
1800	124
2000	174
2200	152
2400	149
2600	149
2800	153
3000	158
3200	146
3400	161
3600	150
3800	171
4000	159
4200	167
4400	149
4600	144
4800	127
5000	154
5200	165
5400	148
5600	148
5800	155
6000	149
6200	173
6400	159
6600	203
6800	392
7000	698
7200	692
7400	342
7600	196
7800	157
8000	152
8200	148
8400	124
8600	147
8800	126
9000	112
9200	135
9400	155
9600	139
9800	130
10000	148
10200	139
10400	154
10600	139
10800	109
11000	142
11200	136
11400	135
11600	155
11800	154
12000	175
12200	153
12400	138
12600	175
12800	117
13000	152
13200	138
13400	134
13600	146
13800	149
14000	150
14200	140
14400	143
14600	143
14800	150
15000	155
15200	137
15400	127
15600	159
15800	160
16000	164
16200	163
16400	143
16600	137
16800	139
17000	137
17200	153
17400	158
17600	160
17800	167
18000	150
18200	164
18400	145
18600	151
18800	136
19000	145
19200	155
19400	124
19600	140
19800	164
20000	189
20200	142
20400	167
20600	155
20800	145
21000	162
21200	157
21400	151
21600	145
21800	140
22000	152
22200	126
22400	163
22600	136
22800	157
23000	144
23200	158
23400	139
23600	129
23800	147
24000	147
24200	140
24400	122
24600	155
24800	132
25000	140
25200	154
25400	115
25600	157
25800	149
26000	127
26200	146
26400	153
26600	143
26800	144
27000	137
27200	157
27400	135
27600	157
27800	140
28000	163
28200	160
28400	134
28600	135
28800	146
29000	168
29200	126
29400	153
29600	133
29800	151
30000	150
30200	131
30400	146
30600	154
30800	162
31000	127
31200	146
31400	143
31600	142
31800	133
32000	158
32200	133
32400	148
32600	127
32800	136
33000	149
33200	159
33400	147
33600	145
33800	133
34000	149
34200	159
34400	134
34600	138
34800	127
35000	159
35200	147
35400	132
35600	158
35800	138
36000	152
36200	128
36400	132
36600	148
36800	140
37000	153
37200	143
37400	159
37600	143
37800	146
38000	129
38200	145
38400	161
38600	148
38800	133
39000	118
39200	127
39400	159
39600	175
39800	154
