Time(ps)		Normalized Counts		Error
-20000			125.0000000000000		
-19800			139.0000000000000		
-19600			136.0000000000000		
-19400			129.0000000000000		
-19200			147.0000000000000		
-19000			132.0000000000000		
-18800			161.0000000000000		
-18600			116.0000000000000		
-18400			141.0000000000000		
-18200			137.0000000000000		
-18000			119.0000000000000		
-17800			121.0000000000000		
-17600			127.0000000000000		
-17400			148.0000000000000		
-17200			134.0000000000000		
-17000			146.0000000000000		
-16800			137.0000000000000		
-16600			124.0000000000000		
-16400			129.0000000000000		
-16200			139.0000000000000		
-16000			114.0000000000000		
-15800			140.0000000000000		
-15600			154.0000000000000		
-15400			149.0000000000000		
-15200			131.0000000000000		
-15000			135.0000000000000		
-14800			139.0000000000000		
-14600			135.0000000000000		
-14400			146.0000000000000		
-14200			130.0000000000000		
-14000			145.0000000000000		
-13800			152.0000000000000		
-13600			143.0000000000000		
-13400			140.0000000000000		
-13200			120.0000000000000		
-13000			143.0000000000000		
-12800			132.0000000000000		
-12600			144.0000000000000		
-12400			118.0000000000000		
-12200			132.0000000000000		
-12000			134.0000000000000		
-11800			156.0000000000000		
-11600			124.0000000000000		
-11400			139.0000000000000		
-11200			132.0000000000000		
-11000			135.0000000000000		
-10800			134.0000000000000		
-10600			131.0000000000000		
-10400			141.0000000000000		
-10200			114.0000000000000		
-10000			133.0000000000000		
-9800			135.0000000000000		
-9600			126.0000000000000		
-9400			164.0000000000000		
-9200			121.0000000000000		
-9000			123.0000000000000		
-8800			140.0000000000000		
-8600			144.0000000000000		
-8400			136.0000000000000		
-8200			128.0000000000000		
-8000			129.0000000000000		
-7800			130.0000000000000		
-7600			127.0000000000000		
-7400			151.0000000000000		
-7200			122.0000000000000		
-7000			129.0000000000000		
-6800			140.0000000000000		
-6600			130.0000000000000		
-6400			145.0000000000000		
-6200			147.0000000000000		
-6000			146.0000000000000		
-5800			143.0000000000000		
-5600			155.0000000000000		
-5400			144.0000000000000		
-5200			123.0000000000000		
-5000			137.0000000000000		
-4800			129.0000000000000		
-4600			117.0000000000000		
-4400			130.0000000000000		
-4200			127.0000000000000		
-4000			137.0000000000000		
-3800			143.0000000000000		
-3600			134.0000000000000		
-3400			122.0000000000000		
-3200			125.0000000000000		
-3000			140.0000000000000		
-2800			138.0000000000000		
-2600			144.0000000000000		
-2400			140.0000000000000		
-2200			145.0000000000000		
-2000			145.0000000000000		
-1800			123.0000000000000		
-1600			114.0000000000000		
-1400			152.0000000000000		
-1200			147.0000000000000		
-1000			144.0000000000000		
-800			144.0000000000000		
-600			147.0000000000000		
-400			127.0000000000000		
-200			128.0000000000000		
0			146.0000000000000		
200			155.0000000000000		
400			233.0000000000000		
600			234.0000000000000		
800			143.0000000000000		
1000			146.0000000000000		
1200			131.0000000000000		
1400			146.0000000000000		
1600			153.0000000000000		
1800			146.0000000000000		
2000			173.0000000000000		
2200			157.0000000000000		
2400			120.0000000000000		
2600			155.0000000000000		
2800			127.0000000000000		
3000			130.0000000000000		
3200			119.0000000000000		
3400			138.0000000000000		
3600			125.0000000000000		
3800			131.0000000000000		
4000			114.0000000000000		
4200			131.0000000000000		
4400			128.0000000000000		
4600			121.0000000000000		
4800			123.0000000000000		
5000			124.0000000000000		
5200			149.0000000000000		
5400			140.0000000000000		
5600			141.0000000000000		
5800			129.0000000000000		
6000			136.0000000000000		
6200			140.0000000000000		
6400			141.0000000000000		
6600			133.0000000000000		
6800			107.0000000000000		
7000			137.0000000000000		
7200			147.0000000000000		
7400			139.0000000000000		
7600			123.0000000000000		
7800			121.0000000000000		
8000			140.0000000000000		
8200			140.0000000000000		
8400			136.0000000000000		
8600			121.0000000000000		
8800			122.0000000000000		
9000			116.0000000000000		
9200			129.0000000000000		
9400			127.0000000000000		
9600			125.0000000000000		
9800			125.0000000000000		
10000			141.0000000000000		
10200			142.0000000000000		
10400			146.0000000000000		
10600			145.0000000000000		
10800			135.0000000000000		
11000			134.0000000000000		
11200			133.0000000000000		
11400			147.0000000000000		
11600			127.0000000000000		
11800			119.0000000000000		
12000			131.0000000000000		
12200			122.0000000000000		
12400			140.0000000000000		
12600			133.0000000000000		
12800			146.0000000000000		
13000			153.0000000000000		
13200			134.0000000000000		
13400			142.0000000000000		
13600			114.0000000000000		
13800			132.0000000000000		
14000			141.0000000000000		
14200			140.0000000000000		
14400			126.0000000000000		
14600			123.0000000000000		
14800			134.0000000000000		
15000			144.0000000000000		
15200			132.0000000000000		
15400			152.0000000000000		
15600			146.0000000000000		
15800			119.0000000000000		
16000			134.0000000000000		
16200			145.0000000000000		
16400			114.0000000000000		
16600			138.0000000000000		
16800			139.0000000000000		
17000			120.0000000000000		
17200			153.0000000000000		
17400			139.0000000000000		
17600			135.0000000000000		
17800			140.0000000000000		
18000			133.0000000000000		
18200			134.0000000000000		
18400			122.0000000000000		
18600			125.0000000000000		
18800			135.0000000000000		
19000			139.0000000000000		
19200			137.0000000000000		
19400			122.0000000000000		
19600			107.0000000000000		
19800			138.0000000000000		
