Time(ps)		Normalized Counts		Error
-20000			12052.00000000000		
-19800			12028.00000000000		
-19600			11957.00000000000		
-19400			11965.00000000000		
-19200			11994.00000000000		
-19000			12018.00000000000		
-18800			11962.00000000000		
-18600			11798.00000000000		
-18400			11988.00000000000		
-18200			12111.00000000000		
-18000			12077.00000000000		
-17800			11916.00000000000		
-17600			12081.00000000000		
-17400			11981.00000000000		
-17200			12168.00000000000		
-17000			11961.00000000000		
-16800			12072.00000000000		
-16600			12001.00000000000		
-16400			11970.00000000000		
-16200			12107.00000000000		
-16000			12159.00000000000		
-15800			12015.00000000000		
-15600			11941.00000000000		
-15400			11867.00000000000		
-15200			11846.00000000000		
-15000			12221.00000000000		
-14800			11976.00000000000		
-14600			12098.00000000000		
-14400			12013.00000000000		
-14200			11994.00000000000		
-14000			11984.00000000000		
-13800			12021.00000000000		
-13600			11825.00000000000		
-13400			11964.00000000000		
-13200			11908.00000000000		
-13000			12085.00000000000		
-12800			11961.00000000000		
-12600			12170.00000000000		
-12400			11983.00000000000		
-12200			11952.00000000000		
-12000			12076.00000000000		
-11800			12112.00000000000		
-11600			11926.00000000000		
-11400			11711.00000000000		
-11200			11933.00000000000		
-11000			11980.00000000000		
-10800			11837.00000000000		
-10600			11966.00000000000		
-10400			11987.00000000000		
-10200			11883.00000000000		
-10000			12132.00000000000		
-9800			11979.00000000000		
-9600			12055.00000000000		
-9400			11852.00000000000		
-9200			11858.00000000000		
-9000			12020.00000000000		
-8800			11847.00000000000		
-8600			11804.00000000000		
-8400			12075.00000000000		
-8200			12006.00000000000		
-8000			11876.00000000000		
-7800			12293.00000000000		
-7600			12103.00000000000		
-7400			11988.00000000000		
-7200			11954.00000000000		
-7000			12053.00000000000		
-6800			11720.00000000000		
-6600			11845.00000000000		
-6400			11683.00000000000		
-6200			12174.00000000000		
-6000			11787.00000000000		
-5800			11875.00000000000		
-5600			12058.00000000000		
-5400			11783.00000000000		
-5200			11987.00000000000		
-5000			11961.00000000000		
-4800			11846.00000000000		
-4600			11669.00000000000		
-4400			11588.00000000000		
-4200			11951.00000000000		
-4000			11817.00000000000		
-3800			11824.00000000000		
-3600			11971.00000000000		
-3400			12016.00000000000		
-3200			11452.00000000000		
-3000			12376.00000000000		
-2800			12037.00000000000		
-2600			11837.00000000000		
-2400			11781.00000000000		
-2200			11928.00000000000		
-2000			12091.00000000000		
-1800			12301.00000000000		
-1600			11996.00000000000		
-1400			11931.00000000000		
-1200			11833.00000000000		
-1000			12033.00000000000		
-800			12066.00000000000		
-600			12166.00000000000		
-400			14453.00000000000		
-200			17659.00000000000		
0			13685.00000000000		
200			12025.00000000000		
400			12036.00000000000		
600			11952.00000000000		
800			12043.00000000000		
1000			12217.00000000000		
1200			12752.00000000000		
1400			13851.00000000000		
1600			12230.00000000000		
1800			11451.00000000000		
2000			11930.00000000000		
2200			11928.00000000000		
2400			12010.00000000000		
2600			11911.00000000000		
2800			11902.00000000000		
3000			11826.00000000000		
3200			11840.00000000000		
3400			11821.00000000000		
3600			11866.00000000000		
3800			11895.00000000000		
4000			11749.00000000000		
4200			11922.00000000000		
4400			11918.00000000000		
4600			12046.00000000000		
4800			11705.00000000000		
5000			11917.00000000000		
5200			11971.00000000000		
5400			11822.00000000000		
5600			11986.00000000000		
5800			11966.00000000000		
6000			11838.00000000000		
6200			11794.00000000000		
6400			12055.00000000000		
6600			11916.00000000000		
6800			11821.00000000000		
7000			11916.00000000000		
7200			11937.00000000000		
7400			11946.00000000000		
7600			11934.00000000000		
7800			11973.00000000000		
8000			11969.00000000000		
8200			11958.00000000000		
8400			12045.00000000000		
8600			12016.00000000000		
8800			11857.00000000000		
9000			12178.00000000000		
9200			12231.00000000000		
9400			12025.00000000000		
9600			12137.00000000000		
9800			11969.00000000000		
10000			12011.00000000000		
10200			12033.00000000000		
10400			12058.00000000000		
10600			12019.00000000000		
10800			11849.00000000000		
11000			12106.00000000000		
11200			11885.00000000000		
11400			12020.00000000000		
11600			12036.00000000000		
11800			11986.00000000000		
12000			11986.00000000000		
12200			11923.00000000000		
12400			11930.00000000000		
12600			11675.00000000000		
12800			11753.00000000000		
13000			12047.00000000000		
13200			11890.00000000000		
13400			11992.00000000000		
13600			12044.00000000000		
13800			12111.00000000000		
14000			11994.00000000000		
14200			12120.00000000000		
14400			12015.00000000000		
14600			12119.00000000000		
14800			12110.00000000000		
15000			12023.00000000000		
15200			12118.00000000000		
15400			12231.00000000000		
15600			12070.00000000000		
15800			12232.00000000000		
16000			12083.00000000000		
16200			12082.00000000000		
16400			12389.00000000000		
16600			12273.00000000000		
16800			12049.00000000000		
17000			12077.00000000000		
17200			11758.00000000000		
17400			12022.00000000000		
17600			12065.00000000000		
17800			12195.00000000000		
18000			12031.00000000000		
18200			12002.00000000000		
18400			12089.00000000000		
18600			12028.00000000000		
18800			11889.00000000000		
19000			12231.00000000000		
19200			11965.00000000000		
19400			11898.00000000000		
19600			12162.00000000000		
19800			11853.00000000000		
